,AG_S000,AG_S001,AG_S002,AG_S003,AG_S004,AG_S005,AG_S006,AG_S007,AG_S008,AG_S009,AG_S010,AG_S011,AG_S012,AG_S013,AG_S014,AG_S015,AG_S016,AG_S017,AG_S018,AG_S019,AG_S020,AG_S021,AG_S022,AG_S023,AG_S024,AG_S025,AG_S026,AG_S027,AG_S028,AG_S029
Faecalibacterium_OTU0,0.0186278964107224,0.027614353103302063,8.477090662484635e-05,0.02288351993714398,0.0006901708172772762,0.021576474682443014,0.0031291370802744014,0.014090901447764457,0.019278573600157375,0.008581983518044898,0.0023860537592520453,0.00010393209769617184,0.012923468492188872,0.0006424375917767988,0.0009559877927712616,0.05203677872982436,0.0027114363183894812,0.000700994137139944,0.014039709567564094,0.0031791989554060575,0.0,0.01823381182932699,0.0016641378297684892,0.0204889585850536,0.05194063926940639,0.00791073564958371,0.006010518407212622,0.0,0.00045566159532187426,0.022143536624035513
Faecalibacterium_OTU1,0.017767043688275665,0.014443207717178141,0.007290297969736786,0.003142801021410332,0.038390751711048485,0.016356359839916478,0.00036105427849320016,0.04215499991592541,0.005830069567394531,0.0010798522307473714,0.0026782236073237243,0.0012125411397886714,0.01810163243812533,0.0011319138521781694,0.0010295253152921278,0.022431609211762363,0.0029714370612487465,0.006022176905429518,0.008256762834928998,0.0014760566578670981,0.0006170554115759595,0.007672923921968345,0.0018843913660613774,0.009254736625620196,0.035281107305936074,0.01052323168200796,0.016124371496272324,0.0,0.0011391539883046857,0.020364302575485327
Faecalibacterium_OTU2,0.00035868863435280614,0.022128584300630732,0.0,0.013062266745236693,0.006269051590268591,0.002709488180168535,0.0015404982549043207,0.010542953708530207,0.044136845681992956,0.00019892014776925262,0.005259057265290222,0.005750909405854841,0.009939441811479726,0.004344101811062163,0.035224473287494944,0.012212132426200575,0.008505738587824536,0.013733112413968901,0.0005140397095675641,0.03346674614664055,0.00837138508371385,0.025283841558368016,0.0019822818266359943,0.0005141520347566775,0.0,0.0009033864785018433,0.0012714558169103624,0.009333492880220175,0.05113535680834367,0.00472113589120248
Faecalibacterium_OTU3,0.013701905832277195,0.0012985636296178513,0.011783156020853643,0.06300333922608525,0.0019267268648990624,0.0008948768301474061,0.0013960765435070406,0.0056161826772712755,0.016166818677682996,0.005001420858198352,0.01168679392286716,0.00038108435821929674,0.001206775495875022,0.003120411160058737,0.03364341655329632,0.012952261664152125,0.02941722690636259,0.004333418302319653,0.02297114952130052,0.009140196996792416,0.013842609733020692,0.02216937059373142,0.000881014145171553,0.002725005784210391,0.0009275114155251141,0.01584588714993774,0.02225047679593134,0.01708747158071078,0.06278004202212491,0.003752246062784061
Faecalibacterium_OTU4,0.013223654319806787,0.013992685641596439,0.011444072394354257,0.0017187193085837753,0.0181169839535285,0.01044022968505307,0.012348056324467446,0.061845269122765716,0.012286066849079886,0.02216538789428815,0.02011102454226724,0.001351117270050234,0.009829734948218361,3.059226627508566e-05,0.031032834503805565,0.01747843661931737,0.004902871151060432,0.00312261024725975,0.0604960483197327,0.011297510573675097,0.00026739067834958245,0.0009909680342025538,2.447261514365425e-05,0.0,3.567351598173516e-05,0.039187440486363745,0.026267121308443622,0.00519325116668661,0.017720173151406223,0.006429905224958602
Faecalibacterium_OTU5,0.0043042636122336735,0.011819579159378809,0.008392319755859788,0.00991946572382636,0.0117904181284868,0.007283303089810833,0.0021181851004934407,0.003228464293521212,0.0013949246204195504,0.005825518613242399,0.007255551227113362,0.0030833188983197643,0.005002632964718273,0.010523739598629466,0.0068757583557009965,0.0029605169518062,0.011142888979682799,0.03635610502166709,0.013557797339844503,0.03065656135570127,0.003126414085318195,0.00659701577054843,0.0026919876658019677,0.0009511812642998534,0.015625,0.00012207925385160045,0.04042651563312721,0.03850664113916477,0.020302255524896843,0.0007751118627347356
Roseburia_OTU0,0.0035868863435280615,0.007870885673397996,0.020387403043275548,0.0016205067766647025,0.03289814229021683,0.021501901613264065,0.003923456492959441,0.0291234383144726,0.002646780049001198,0.014720090934924695,0.02171795870666147,0.0023557942144465617,0.004914867474109181,0.007403328438570729,0.016435636283413612,0.011386603660793077,0.008060023028637224,0.004715778740759622,0.004915504722739832,0.005989383746345341,0.00960549590686577,0.04960502845493927,0.006925750085654153,0.0009254736625620196,0.005422374429223744,7.324755231096027e-05,0.000202277061781194,0.0009812133540744287,0.03318735285927651,0.02351759856251982
Roseburia_OTU1,0.04964250699442837,0.0001325064928181481,0.0035179926249311235,0.008348065213121194,0.00014378558693276585,0.04708046434164409,0.02695871946082561,0.0029257957660035984,0.012268183200100148,0.004546746234725774,0.0053564472146474485,0.0011778971072232808,0.0010312445146568368,0.0002447381302006853,0.016876861418538808,0.0156281135244385,0.018088623110351743,0.0001274534794799898,0.07871233052753325,2.8385704958982655e-05,0.017298120037846067,0.03672244401030607,0.0005628701483040478,0.01226252602894676,0.006884988584474886,0.09207217325487707,0.02129688493324857,0.0016034462127557736,0.00048097612839531173,0.0032589930592255927
Roseburia_OTU2,0.02924507998756546,0.026713308952138654,0.00012715635993726954,0.01198192889412689,0.025133720595847474,0.00024857689726316836,0.019833915031893128,0.002589497402095139,0.0015558774612371908,0.011963626030122194,0.001168679392286716,0.00034644032565390613,0.0004388274530454625,0.03172418012726383,0.02816487112549178,0.0015941245125110307,0.003751439289826542,0.018608208004078513,0.022424982329884983,0.00017031422975389594,0.01341067094491752,0.00019819360684051078,0.0007586510694532818,7.712280521350163e-05,0.0009275114155251141,0.0035647142124667335,0.029156793619603535,0.0,0.0011897830544515607,0.0019025472994398055
Roseburia_OTU3,0.015136660369688418,0.0008215402554725182,0.028652566439198068,0.00854449027695934,0.00526255248173923,0.006313853190484477,0.005343603321699362,0.0002522237729313447,0.0327628449308797,0.014265416311452117,0.0004382547721075185,0.000623592586177031,0.00010970686326136563,0.015204356338717572,0.010332021914181711,0.01141507016994506,0.0005200014857185306,0.04970685699719602,0.01201567821114181,0.0016463708876209941,0.004483935990785306,0.03236218465981483,0.0017130830600557976,5.1415203475667754e-05,0.0008561643835616438,0.001074297433894084,0.0003756574004507889,0.0,0.034731539376756194,0.0001937779656836839
