,taxonomy
Faecalibacterium_OTU0,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Faecalibacterium;s__Faecalibacterium_sp0
Faecalibacterium_OTU1,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Faecalibacterium;s__Faecalibacterium_sp1
Faecalibacterium_OTU2,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Faecalibacterium;s__Faecalibacterium_sp2
Faecalibacterium_OTU3,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Faecalibacterium;s__Faecalibacterium_sp3
Faecalibacterium_OTU4,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Faecalibacterium;s__Faecalibacterium_sp4
Faecalibacterium_OTU5,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Faecalibacterium;s__Faecalibacterium_sp5
Roseburia_OTU0,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Roseburia;s__Roseburia_sp0
Roseburia_OTU1,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Roseburia;s__Roseburia_sp1
Roseburia_OTU2,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Roseburia;s__Roseburia_sp2
Roseburia_OTU3,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Roseburia;s__Roseburia_sp3
Roseburia_OTU4,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Roseburia;s__Roseburia_sp4
Roseburia_OTU5,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Roseburia;s__Roseburia_sp5
Ruminococcus_OTU0,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Ruminococcus;s__Ruminococcus_sp0
Ruminococcus_OTU1,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Ruminococcus;s__Ruminococcus_sp1
Ruminococcus_OTU2,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Ruminococcus;s__Ruminococcus_sp2
Ruminococcus_OTU3,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Ruminococcus;s__Ruminococcus_sp3
Ruminococcus_OTU4,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Ruminococcus;s__Ruminococcus_sp4
Ruminococcus_OTU5,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Ruminococcus;s__Ruminococcus_sp5
Lactobacillus_OTU0,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Lactobacillus;s__Lactobacillus_sp0
Lactobacillus_OTU1,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Lactobacillus;s__Lactobacillus_sp1
Lactobacillus_OTU2,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Lactobacillus;s__Lactobacillus_sp2
Lactobacillus_OTU3,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Lactobacillus;s__Lactobacillus_sp3
Lactobacillus_OTU4,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Lactobacillus;s__Lactobacillus_sp4
Lactobacillus_OTU5,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Lactobacillus;s__Lactobacillus_sp5
Blautia_OTU0,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Blautia;s__Blautia_sp0
Blautia_OTU1,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Blautia;s__Blautia_sp1
Blautia_OTU2,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Blautia;s__Blautia_sp2
Blautia_OTU3,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Blautia;s__Blautia_sp3
Blautia_OTU4,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Blautia;s__Blautia_sp4
Blautia_OTU5,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Blautia;s__Blautia_sp5
Eubacterium_OTU0,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Eubacterium;s__Eubacterium_sp0
Eubacterium_OTU1,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Eubacterium;s__Eubacterium_sp1
Eubacterium_OTU2,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Eubacterium;s__Eubacterium_sp2
